id,card_no,time
198,5.10015E+15,21:01
199,3.42753E+14,17:29
200,6.70644E+15,15:55
201,4.90393E+15,18:35
202,5.46718E+15,9:03
203,3.45295E+14,19:59
204,3.53905E+15,18:08
205,5.60223E+16,8:43
206,5.60221E+15,21:26
207,3.56707E+15,16:19
208,3.58221E+15,18:31
209,3.5777E+15,9:26
210,2.0177E+14,10:01
211,5.01013E+15,13:09
212,6.39981E+15,16:26
213,3.58589E+15,17:59
214,3.58101E+15,17:35
215,3.55172E+15,16:55
216,3.5391E+15,19:06
217,6.75902E+15,20:39
218,5.60224E+15,10:10
219,4.0416E+15,11:31
220,3.57378E+15,8:16
221,3.57449E+15,13:17
222,3.55367E+15,20:07
223,4.67028E+15,15:18
224,5.61018E+15,17:17
225,5.58229E+15,8:11
226,3.74622E+14,9:01
227,6.76713E+17,19:45
228,3.74623E+14,10:20
229,5.64182E+18,12:41
230,3.55449E+15,20:15
231,5.04838E+15,12:19
232,4.917E+15,16:59
233,6.30425E+17,11:03
234,3.58481E+15,8:52
235,6.7615E+17,19:54
236,3.37942E+14,10:20
237,3.58391E+15,13:22
238,3.54647E+15,19:05
239,3.55112E+15,21:34
240,3.56027E+15,18:25
241,5.60225E+17,11:17
242,6.75914E+15,20:25
243,3.54E+15,13:01
244,5.04837E+15,15:48
245,5.38614E+15,8:19
246,3.55219E+15,21:06
247,5.60225E+15,21:41
248,3.55214E+15,8:41
249,3.53584E+15,15:16
250,3.55972E+15,17:34
251,3.5282E+15,18:39
252,4.40543E+15,9:03
253,3.53191E+15,9:18
254,6.76311E+17,16:01
255,6.39966E+15,15:55
256,3.55288E+15,17:47
257,5.60223E+15,16:27
258,3.52916E+15,19:15
259,2.01494E+14,20:40
260,3.55746E+15,15:50
261,3.56919E+15,14:08
262,2.01916E+14,8:00
263,3.5326E+15,18:45
264,3.57694E+15,13:28
265,3.54157E+15,19:05
266,2.01971E+14,15:07
267,3.56906E+15,17:42
268,3.5742E+15,21:17
269,3.53947E+15,8:04
270,5.60223E+17,19:51
271,3.54107E+15,13:57
272,3.74284E+14,10:00
273,3.53453E+15,17:55
274,3.54982E+15,16:08
275,6.39099E+15,10:53
276,5.10014E+15,12:12
277,3.04964E+13,13:22
278,3.53673E+15,20:48
279,5.61065E+15,12:34
280,3.54469E+15,14:44
281,3.54606E+15,17:46
282,3.57578E+15,17:05
283,3.57144E+15,9:11
284,5.56797E+15,17:48
285,5.60222E+16,10:26
286,4.93682E+17,9:16
287,5.01013E+15,15:23
288,6.70951E+16,8:44
289,5.10018E+15,9:33
290,3.55597E+15,16:43
291,3.63891E+13,15:50
292,6.0435E+15,10:13
293,4.02666E+15,11:48
294,3.54396E+15,18:40
295,5.02035E+16,19:48
296,2.01489E+14,18:38
297,6.33445E+18,9:32
298,3.45591E+14,9:14
299,6.3047E+16,9:30
300,6.77147E+18,21:30
301,3.57398E+15,20:02
302,5.51425E+15,19:43
303,3.54795E+15,10:05
304,5.64182E+17,15:01
305,6.30484E+18,16:48
306,3.5301E+15,17:23
307,3.56079E+15,20:07
308,6.70647E+16,15:46
309,6.70653E+18,11:41
310,3.53346E+15,17:24
311,6.75924E+15,9:17
312,3.55749E+15,15:43
313,6.77157E+17,17:00
314,4.01795E+15,14:02
315,3.58012E+15,10:03
316,3.57675E+15,11:19
317,5.60225E+15,12:02
318,3.53335E+15,15:58
319,3.52878E+15,18:50
320,3.58003E+15,17:40
321,5.33843E+15,16:49
322,3.04696E+13,12:39
323,4.90387E+15,11:23
324,5.10876E+15,16:47
325,3.5321E+15,19:49
326,3.0248E+13,18:49
327,3.74283E+14,18:16
328,3.74288E+14,10:06
329,5.61091E+15,15:14
330,5.60222E+15,9:09
331,5.60225E+18,9:22
332,5.02079E+16,21:10
333,3.54002E+15,15:07
334,6.75969E+18,13:23
335,5.01012E+15,14:00
336,6.76185E+18,18:43
337,5.60222E+15,15:06
338,3.56841E+15,13:08
339,5.38685E+15,10:16
340,3.58869E+15,9:24
341,4.91181E+17,16:02
342,3.57119E+15,16:53
343,3.57154E+15,17:03
344,3.57407E+15,15:09
345,3.54717E+15,15:23
346,6.75975E+16,21:03
347,3.56312E+15,15:34
348,3.74622E+14,12:22
349,3.53576E+15,15:32
350,3.55963E+15,8:44
351,5.01012E+15,18:19
352,5.60222E+15,13:55
353,3.04988E+13,12:10
354,5.61041E+15,20:27
355,5.60221E+15,16:32
356,2.01481E+14,12:31
357,5.60225E+15,18:31
358,5.23028E+15,10:06
359,3.54958E+15,10:57
360,5.21473E+15,17:18
361,3.57392E+15,12:10
362,3.55635E+15,8:50
363,3.74289E+14,16:30
364,3.58347E+15,10:45
365,3.56314E+15,14:30
366,3.53969E+15,9:36
367,5.89389E+15,20:54
368,3.58679E+15,18:04
369,5.60222E+17,10:20
370,4.50883E+15,14:13
371,5.17097E+15,10:40
